batch,npad,channels,phase,operator,path,median_ms,min_ms,max_ms
2,448,192,fwd,raytap,reference,4.398199962452054,4.357500001788139,7.15169997420162
2,448,192,fwd,raytap,function,5.152400000952184,5.094200023449957,39.41099997609854
2,448,192,fwd,dense31,reference,8.250199956819415,7.433699967805296,8.276899985503405
2,448,192,fwd,dense31,function,10.750000015832484,10.535000008530915,17.837899969890714
2,448,192,fwd+bwd,raytap,reference,15.66510001430288,15.01900004222989,19.388600019738078
2,448,192,fwd+bwd,raytap,function,16.455499979201704,16.177100013010204,16.749900009017438
2,448,192,fwd+bwd,dense31,reference,23.649699985980988,20.637900044675916,33.44570001354441
2,448,192,fwd+bwd,dense31,function,34.55219999887049,32.61320001911372,39.409099961631
8,448,192,fwd,raytap,reference,26.813100033905357,22.930299979634583,59.712199959903955
8,448,192,fwd,raytap,function,26.67200000723824,26.618000003509223,36.575499980244786
8,448,192,fwd,dense31,reference,57.673800038173795,56.799299956765026,66.29719998454675
8,448,192,fwd,dense31,function,45.4965999815613,43.95170003408566,68.18160001421347
8,448,192,fwd+bwd,raytap,reference,65.55559998378158,63.004499999806285,98.05659996345639
8,448,192,fwd+bwd,raytap,function,79.15180001873523,78.04900000337511,124.44899999536574
8,448,192,fwd+bwd,dense31,reference,106.47499997867271,103.76739996718243,130.1262000342831
8,448,192,fwd+bwd,dense31,function,126.56060000881553,126.3415000285022,162.89300000062212
